2026-02-01 12:57:17 | INFO | Epoch 009 | Step 00300 | Loss 0.00001 | MSE 0.00000 | L1 0.00000 | L0 1645.39 | R2 0.9937
2026-02-01 12:57:46 | INFO | Epoch 009 | Step 00400 | Loss 0.00000 | MSE 0.00000 | L1 0.00000 | L0 1637.55 | R2 0.9945
2026-02-01 12:58:24 | INFO | Epoch 009 | Step 00500 | Loss 0.00000 | MSE 0.00000 | L1 0.00000 | L0 1632.92 | R2 0.9943
2026-02-01 12:58:54 | INFO | Epoch 009 | Step 00600 | Loss 0.00001 | MSE 0.00001 | L1 0.00000 | L0 1592.98 | R2 0.9889
2026-02-01 12:59:23 | INFO | Epoch 009 | Step 00700 | Loss 0.00001 | MSE 0.00000 | L1 0.00000 | L0 1619.67 | R2 0.9941
2026-02-03 23:48:40 | INFO | Epoch 000 | Step 00000 | Loss 0.27516 | MSE 0.27509 | L1 0.00007 | L0 4096.02 | R2 -2.0081
2026-02-03 23:51:21 | INFO | Epoch 000 | Step 00000 | Loss 0.30804 | MSE 0.27509 | L1 0.03295 | L0 4096.02 | R2 -2.0081
2026-02-03 23:54:56 | INFO | Epoch 000 | Step 00100 | Loss 0.03727 | MSE 0.02106 | L1 0.01621 | L0 2395.92 | R2 0.7615
2026-02-03 23:58:43 | INFO | Epoch 000 | Step 00200 | Loss 0.02624 | MSE 0.01385 | L1 0.01239 | L0 2101.36 | R2 0.8519
2026-02-04 00:02:29 | INFO | Epoch 000 | Step 00300 | Loss 0.01892 | MSE 0.00856 | L1 0.01035 | L0 1843.05 | R2 0.9036
2026-02-04 00:06:32 | INFO | Epoch 000 | Step 00400 | Loss 0.01600 | MSE 0.00688 | L1 0.00911 | L0 1653.33 | R2 0.9222
